Date;#
29/06/2014;27
30/06/2014;196
01/07/2014;145
02/07/2014;113
03/07/2014;113
04/07/2014;165
05/07/2014;110
06/07/2014;41
07/07/2014;287
08/07/2014;102
09/07/2014;48
10/07/2014;125
11/07/2014;91
12/07/2014;21
13/07/2014;32
14/07/2014;164
15/07/2014;155
16/07/2014;148
17/07/2014;131
18/07/2014;95
19/07/2014;22
20/07/2014;40
21/07/2014;158
22/07/2014;120
23/07/2014;87
24/07/2014;88
25/07/2014;72
26/07/2014;45
27/07/2014;27
28/07/2014;129
29/07/2014;120
30/07/2014;104
31/07/2014;130
01/08/2014;195
02/08/2014;38
03/08/2014;32
04/08/2014;113
05/08/2014;119
06/08/2014;30
07/08/2014;172
08/08/2014;95
09/08/2014;238
10/08/2014;119
11/08/2014;37
12/08/2014;123
13/08/2014;127
14/08/2014;157
15/08/2014;141
16/08/2014;40
17/08/2014;29
18/08/2014;156
19/08/2014;133
20/08/2014;178
21/08/2014;150
22/08/2014;133
23/08/2014;54
24/08/2014;53
25/08/2014;169
26/08/2014;150
27/08/2014;135
28/08/2014;160
29/08/2014;102
30/08/2014;14
31/08/2014;11
01/09/2014;136
02/09/2014;32
03/09/2014;32
04/09/2014;124
05/09/2014;128
06/09/2014;46
07/09/2014;127
08/09/2014;50
09/09/2014;153
10/09/2014;121
11/09/2014;41
12/09/2014;108
13/09/2014;45
14/09/2014;35
15/09/2014;190
16/09/2014;155
17/09/2014;147
18/09/2014;134
19/09/2014;84
20/09/2014;61
21/09/2014;50
22/09/2014;186
23/09/2014;156
24/09/2014;149
25/09/2014;174
26/09/2014;114
27/09/2014;41
28/09/2014;48
29/09/2014;141
30/09/2014;160
01/10/2014;140
02/10/2014;160
03/10/2014;145
04/10/2014;107
05/10/2014;25
06/10/2014;255
07/10/2014;135
08/10/2014;43
09/10/2014;153
10/10/2014;115
11/10/2014;165
12/10/2014;88
13/10/2014;248
14/10/2014;132
15/10/2014;124
16/10/2014;116
17/10/2014;122
18/10/2014;1
19/10/2014;0
20/10/2014;291
21/10/2014;93
22/10/2014;129
23/10/2014;116
24/10/2014;138
25/10/2014;40
26/10/2014;45
27/10/2014;171
28/10/2014;157
29/10/2014;116
30/10/2014;147
31/10/2014;119
01/11/2014;51
02/11/2014;104
03/11/2014;159
04/11/2014;114
05/11/2014;27
06/11/2014;170
07/11/2014;147
08/11/2014;196
09/11/2014;132
10/11/2014;3
11/11/2014;113
12/11/2014;111
13/11/2014;124
14/11/2014;114
15/11/2014;33
16/11/2014;45
17/11/2014;154
18/11/2014;146
19/11/2014;129
20/11/2014;138
21/11/2014;110
22/11/2014;24
23/11/2014;48
24/11/2014;158
25/11/2014;163
26/11/2014;118
27/11/2014;92
28/11/2014;73
29/11/2014;0
30/11/2014;1
01/12/2014;55
02/12/2014;108
03/12/2014;112
04/12/2014;6
05/12/2014;184
06/12/2014;171
07/12/2014;33
08/12/2014;126
09/12/2014;130
10/12/2014;0
11/12/2014;131
12/12/2014;84
13/12/2014;37
14/12/2014;30
15/12/2014;134
16/12/2014;137
17/12/2014;109
18/12/2014;118
19/12/2014;104
20/12/2014;22
21/12/2014;37
22/12/2014;118
23/12/2014;128
24/12/2014;64
25/12/2014;10
26/12/2014;24
27/12/2014;42
28/12/2014;74
29/12/2014;182
30/12/2014;117
31/12/2014;98
01/01/2015;58
02/01/2015;43
03/01/2015;30
04/01/2015;199
05/01/2015;120
06/01/2015;204
07/01/2015;146
08/01/2015;52
09/01/2015;152
10/01/2015;143
11/01/2015;63
12/01/2015;168
13/01/2015;166
14/01/2015;189
15/01/2015;155
16/01/2015;112
17/01/2015;45
18/01/2015;63
19/01/2015;225
20/01/2015;133
21/01/2015;144
22/01/2015;124
23/01/2015;83
24/01/2015;17
25/01/2015;54
26/01/2015;129
27/01/2015;153
28/01/2015;26
29/01/2015;142
30/01/2015;101
31/01/2015;6
01/02/2015;182
02/02/2015;129
03/02/2015;216
04/02/2015;178
05/02/2015;48
06/02/2015;180
07/02/2015;122
08/02/2015;57
09/02/2015;127
10/02/2015;127
11/02/2015;166
12/02/2015;111
13/02/2015;89
14/02/2015;37
15/02/2015;34
16/02/2015;94
17/02/2015;105
18/02/2015;90
19/02/2015;104
20/02/2015;87
21/02/2015;31
22/02/2015;32
23/02/2015;157
24/02/2015;99
25/02/2015;143
26/02/2015;108
27/02/2015;144
28/02/2015;34
01/03/2015;55
02/03/2015;273
03/03/2015;102
04/03/2015;130
05/03/2015;49
06/03/2015;185
07/03/2015;111
08/03/2015;155
09/03/2015;134
10/03/2015;76
11/03/2015;158
12/03/2015;168
13/03/2015;144
14/03/2015;35
15/03/2015;29
16/03/2015;197
17/03/2015;142
18/03/2015;162
19/03/2015;123
20/03/2015;86
21/03/2015;38
22/03/2015;42
23/03/2015;209
24/03/2015;137
25/03/2015;146
26/03/2015;116
27/03/2015;124
28/03/2015;30
29/03/2015;29
30/03/2015;179
31/03/2015;271
01/04/2015;72
02/04/2015;115
03/04/2015;131
04/04/2015;35
05/04/2015;138
06/04/2015;156
07/04/2015;34
08/04/2015;107
09/04/2015;121
10/04/2015;16
11/04/2015;157
12/04/2015;101
13/04/2015;196
14/04/2015;144
15/04/2015;151
16/04/2015;144
17/04/2015;131
18/04/2015;49
19/04/2015;60
20/04/2015;153
21/04/2015;181
22/04/2015;150
23/04/2015;160
24/04/2015;98
25/04/2015;48
26/04/2015;53
27/04/2015;38
28/04/2015;166
29/04/2015;178
30/04/2015;139
01/05/2015;274
02/05/2015;109
03/05/2015;129
04/05/2015;41
05/05/2015;64
06/05/2015;115
07/05/2015;72
08/05/2015;169
09/05/2015;59
10/05/2015;199
11/05/2015;156
12/05/2015;55
13/05/2015;128
14/05/2015;38
15/05/2015;72
16/05/2015;52
17/05/2015;64
18/05/2015;216
19/05/2015;155
20/05/2015;146
21/05/2015;133
22/05/2015;126
23/05/2015;40
24/05/2015;79
25/05/2015;55
26/05/2015;257
27/05/2015;196
28/05/2015;169
29/05/2015;160
30/05/2015;32
31/05/2015;48
01/06/2015;194
02/06/2015;91
03/06/2015;115
04/06/2015;63
05/06/2015;196
06/06/2015;40
07/06/2015;217
08/06/2015;135
09/06/2015;56
10/06/2015;177
11/06/2015;100
12/06/2015;79
13/06/2015;2
14/06/2015;54
15/06/2015;350
16/06/2015;58
17/06/2015;266
18/06/2015;146
19/06/2015;153
